"Axis-limits","x","obs","calc","bkg","diff","zero","Bi","Li2Te","LiBi","tick-pos","diff/sigma"
" ",65.93764110000001,1089.0,1136.047559184426,905.3820965562444,-309.24755918442605," "," "," "," "," ",-1.4256836116492746
" ",65.96390166,1043.0,1138.960879354192,905.1695862993146,-358.160879354192," "," "," "," "," ",-2.9713380089942536
" ",65.99016223,1048.0,1141.2113830039016,904.957841469426,-355.41138300390156," "," "," "," "," ",-2.879309246751676
" ",66.01642279,1022.0,1142.6783239952401,904.7468062126771,-382.8783239952401," "," "," "," "," ",-3.774885806249141
" ",66.04268336,997.0,1143.2717699746647,904.5364241031859,-408.4717699746647," "," "," "," "," ",-4.632473406344544
" ",66.06894392999999,920.0,1142.9389714386793,904.3266387325726,-485.13897143867933," "," "," "," "," ",-7.350080172049487
" ",66.09520449,1037.0,1141.6639245067668,904.1173934943105,-366.86392450676675," "," "," "," "," ",-3.25018170979502
" ",66.12146505,1022.0,1139.467336199842,903.9086314517908,-379.66733619984205," "," "," "," "," ",-3.674444303155632
" ",66.14772562,973.0,1136.4020918877113,903.7002955254183,-425.6020918877113," "," "," "," "," ",-5.2384305544865875
" ",66.17398619,1006.0,1132.544490855249,903.4923286776793,-388.744490855249," "," "," "," "," ",-3.989736860913957
" ",66.20024674999999,989.0,1127.9905046434528,903.2846737809981,-401.1905046434528," "," "," "," "," ",-4.419640974824858
" ",66.22650732,995.0,1122.8496705717534,903.0772734084876,-390.04967057175344," "," "," "," "," ",-4.05310698387333
" ",66.25276788000001,999.0,1117.2399763097665,902.8700704147369,-380.43997630976645," "," "," "," "," ",-3.7409473283358836
" ",66.27902844,973.0,1111.2826829558946,902.6630074103489,-400.48268295589463," "," "," "," "," ",-4.433139277374316
" ",66.30528901,1007.0,1105.1001996446303,902.4560270268722,-360.30019964463025," "," "," "," "," ",-3.0913996976809557
" ",66.33154956999999,1019.0,1098.8062912845048,902.2490721808858,-342.0062912845048," "," "," "," "," ",-2.5000577594533446
" ",66.35781014,975.0,1092.5050201062231,902.0420855502717,-379.7050201062231," "," "," "," "," ",-3.763172385522722
" ",66.3840707,1006.0,1086.2857345786044,901.8350102328561,-342.4857345786044," "," "," "," "," ",-2.5312753837716806
" ",66.41033127,1013.0,1080.221932840897,901.6277891438946,-329.4219328408969," "," "," "," "," ",-2.112060098946539
" ",66.43659183,971.0,1074.367503947059,901.4203656752406,-365.56750394705904," "," "," "," "," ",-3.3172210530513397
" ",66.4628524,1045.0,1068.760679887053,901.2126830922479,-285.9606798870529," "," "," "," "," ",-0.7350226374014632
" ",66.48911297,1018.0,1063.4210523703916,901.0046851148329,-307.6210523703916," "," "," "," "," ",-1.4235846840377053
" ",66.51537352999999,1015.0,1058.3548595622476,900.7963157094262,-305.5548595622476," "," "," "," "," ",-1.3608327665060982
" ",66.5416341,979.0,1053.5565520276868,900.5875188787903,-336.75655202768684," "," "," "," "," ",-2.3828377134389713
" ",66.56789466000001,1040.0,1049.013457807729,900.3782392462766,-271.21345780772907," "," "," "," "," ",-0.2794954616691919
" ",66.59415523,1009.0,1044.7064045375164,900.1684214480639,-297.9064045375164," "," "," "," "," ",-1.1240885981042008
" ",66.62041579,965.0,1040.6158896355896,899.9580107992057,-337.8158896355896," "," "," "," "," ",-2.434161624292438
" ",66.64667636,1009.0,1036.7210097267537,899.7469526827347,-289.92100972675365," "," "," "," "," ",-0.8726969675437077
" ",66.67293692,963.0,1033.0034750872405,899.5351932190938,-332.2034750872405," "," "," "," "," ",-2.2558304792502915
" ",66.69919749,1002.0,1029.4478331434193,899.3226786513816,-289.6478331434193," "," "," "," "," ",-0.8671100073664142
" ",66.72545805,933.0,1026.0418863569635,899.1093560187861,-355.24188635696345," "," "," "," "," ",-3.046054578500217
