"Instparm: Type","PNC"
"Instparm: Lam",  1.909000
"Instparm: Zero", -0.001000
"Instparm: Polariz.",      0.00
"Instparm: U",    354.03
"Instparm: V",   -760.40
"Instparm: W",    651.59
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Azimuth",      0.00
"Instparm: Source"," "
"Instparm: Bank",      1.00
"Samparm: InstrName",
"Samparm: Scale",   7113.31
"Samparm: Type",Debye-Scherrer
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
26.2,202,0.019802,215.926,207.327,1.49203
26.25,181,0.0220994,213.808,207.358,1.49483
26.3,193,0.0207254,212.063,207.389,1.49763
26.35,205,0.0195122,210.709,207.419,1.50042
26.4,198,0.020202,209.716,207.45,1.50322
26.45,196,0.0204082,209.029,207.481,1.50602
26.5,197,0.0203046,208.579,207.511,1.50881
26.55,195,0.0205128,208.303,207.542,1.51161
26.6,201,0.0199005,208.146,207.572,1.5144
26.65,205,0.0195122,208.067,207.603,1.5172
26.7,195,0.0205128,208.036,207.634,1.51999
26.75,196,0.0204082,208.032,207.664,1.52279
26.8,196,0.0204082,208.045,207.695,1.52558
26.85,205,0.0195122,208.067,207.725,1.52838
26.9,198,0.020202,208.094,207.755,1.53117
26.95,200,0.02,208.123,207.786,1.53396
27,199,0.0201005,208.161,207.816,1.53676
27.05,180,0.0222222,208.193,207.847,1.53955
27.1,187,0.0213904,208.226,207.877,1.54234
27.15,193,0.0207254,208.26,207.907,1.54513
27.2,197,0.0203046,208.295,207.938,1.54793
27.25,197,0.0203046,208.33,207.968,1.55072
27.3,196,0.0204082,208.366,207.998,1.55351
27.35,194,0.0206186,208.402,208.029,1.5563
27.4,197,0.0203046,208.44,208.059,1.55909
27.45,204,0.0196078,208.478,208.089,1.56188
27.5,201,0.0199005,208.516,208.119,1.56467
27.55,187,0.0213904,208.556,208.149,1.56746
27.6,191,0.0209424,208.596,208.18,1.57025
27.65,205,0.0195122,208.638,208.21,1.57304
27.7,200,0.02,208.68,208.24,1.57583
27.75,198,0.020202,208.724,208.27,1.57862
27.8,200,0.02,208.769,208.3,1.5814
27.85,204,0.0196078,208.827,208.33,1.58419
27.9,196,0.0204082,208.875,208.36,1.58698
27.95,195,0.0205128,208.926,208.39,1.58977
28,194,0.0206186,208.98,208.42,1.59255
28.05,200,0.02,209.039,208.45,1.59534
28.1,198,0.020202,209.106,208.48,1.59813
28.15,201,0.0199005,209.19,208.51,1.60091
28.2,208,0.0192308,209.306,208.54,1.6037
28.25,205,0.0195122,209.48,208.57,1.60649
28.3,211,0.0189573,209.763,208.6,1.60927
28.35,211,0.0189573,210.234,208.629,1.61206
28.4,220,0.0181818,211.019,208.659,1.61484
28.45,220,0.0181818,212.29,208.689,1.61762
28.5,212,0.0188679,214.27,208.719,1.62041
28.55,208,0.0192308,217.21,208.749,1.62319
28.6,214,0.0186916,221.347,208.778,1.62598
28.65,226,0.0176991,226.839,208.808,1.62876
28.7,235,0.0170213,233.683,208.838,1.63154
28.75,233,0.0171674,241.651,208.867,1.63432
28.8,237,0.0168776,250.233,208.897,1.63711
28.85,242,0.0165289,258.668,208.927,1.63989
28.9,242,0.0165289,266.029,208.956,1.64267
28.95,245,0.0163265,271.366,208.986,1.64545
29,239,0.0167364,273.907,209.015,1.64823
29.05,226,0.0176991,273.26,209.045,1.65101
29.1,232,0.0172414,269.537,209.074,1.65379
29.15,238,0.0168067,263.317,209.104,1.65657
29.2,226,0.0176991,255.473,209.133,1.65935
29.25,218,0.0183486,246.968,209.163,1.66213
29.3,218,0.0183486,238.676,209.192,1.66491
29.35,214,0.0186916,231.251,209.222,1.66769
29.4,205,0.0195122,225.082,209.251,1.67047
29.45,200,0.02,220.295,209.28,1.67325
29.5,193,0.0207254,216.813,209.31,1.67602
29.55,195,0.0205128,214.436,209.339,1.6788
29.6,196,0.0204082,212.919,209.368,1.68158
29.65,195,0.0205128,212.024,209.398,1.68435
29.7,207,0.0193237,211.562,209.427,1.68713
29.75,215,0.0186047,211.407,209.456,1.68991
29.8,207,0.0193237,211.502,209.485,1.69268
29.85,218,0.0183486,211.869,209.515,1.69546
29.9,218,0.0183486,212.613,209.544,1.69823
29.95,220,0.0181818,213.939,209.573,1.70101
30,220,0.0181818,216.16,209.602,1.70378
30.05,229,0.0218341,219.693,209.631,1.70656
30.1,236,0.0211864,225.026,209.66,1.70933
30.15,254,0.019685,232.639,209.689,1.7121
30.2,264,0.0189394,242.88,209.718,1.71488
30.25,280,0.0178571,255.806,209.748,1.71765
30.3,289,0.017301,271.034,209.777,1.72042
30.35,289,0.017301,287.642,209.806,1.7232
30.4,303,0.0165017,304.191,209.834,1.72597
30.45,302,0.0165563,318.871,209.863,1.72874
30.5,297,0.016835,329.788,209.892,1.73151
30.55,281,0.0177936,335.349,209.921,1.73428
30.6,278,0.0179856,334.684,209.95,1.73705
30.65,280,0.0178571,327.915,209.979,1.73982
30.7,265,0.0188679,316.121,210.008,1.74259
30.75,258,0.0193798,301.013,210.037,1.74536
30.8,243,0.0205761,284.494,210.065,1.74813
30.85,240,0.0208333,268.304,210.094,1.7509
30.9,232,0.0215517,253.786,210.123,1.75367
30.95,231,0.021645,241.751,210.152,1.75644
31,233,0.0214592,232.51,210.18,1.7592
31.05,246,0.0203252,226.005,210.209,1.76197
31.1,248,0.0201613,222.002,210.238,1.76474
31.15,249,0.0200803,220.283,210.266,1.76751
31.2,256,0.0195312,220.823,210.295,1.77027
31.25,272,0.0183824,223.91,210.324,1.77304
31.3,289,0.017301,230.204,210.352,1.77581
31.35,311,0.0160772,240.706,210.381,1.77857
31.4,340,0.0147059,256.609,210.409,1.78134
31.45,363,0.0137741,279.024,210.438,1.7841
31.5,393,0.0127226,308.582,210.466,1.78687
31.55,440,0.0113636,344.989,210.495,1.78963
31.6,474,0.0105485,386.657,210.523,1.79239
31.65,482,0.0103734,430.547,210.552,1.79516
31.7,492,0.0101626,472.354,210.58,1.79792
31.75,508,0.00984252,507.067,210.609,1.80068
31.8,494,0.0101215,529.858,210.637,1.80345
31.85,475,0.0105263,537.197,210.665,1.80621
31.9,439,0.0113895,527.898,210.694,1.80897
31.95,413,0.0121065,503.492,210.722,1.81173
32,368,0.013587,467.749,210.75,1.81449
32.05,331,0.0151057,425.589,210.779,1.81725
32.1,299,0.0167224,381.965,210.807,1.82001
32.15,286,0.0174825,341.046,210.835,1.82277
32.2,262,0.019084,305.682,210.863,1.82553
32.25,241,0.0207469,277.274,210.891,1.82829
32.3,238,0.0210084,255.961,210.92,1.83105
32.35,252,0.0198413,241.009,210.948,1.83381
32.4,267,0.0187266,231.256,210.976,1.83657
32.45,276,0.0181159,225.509,211.004,1.83933
32.5,278,0.0179856,222.829,211.032,1.84209
32.55,300,0.0166667,222.73,211.06,1.84484
